"dateOfActivity","description","imageStampURL","wbmURL","backupURL"
"2004-06-25","zophar made a forum post","https://github.com/Undead-Lords/udl-wbm-forum-archive/blob/main/archive/timestamps/2005/2005-02/20050212-0.png","https://web.archive.org/web/20050212085048/http://www.undeadlords.net:80/forums/","https://github.com/Undead-Lords/udl-wbm-forum-archive/blob/main/archive/backups/2005/2005-02/20050212-0.html"
"2004-11-19","38 highest record of people using the forums on 2004-11-19","https://github.com/Undead-Lords/udl-wbm-forum-archive/blob/main/archive/timestamps/2005/2005-02/20050212-0.png","https://web.archive.org/web/20050212085048/http://www.undeadlords.net:80/forums/","https://github.com/Undead-Lords/udl-wbm-forum-archive/blob/main/archive/backups/2005/2005-02/20050212-0.html"
"2005-02-11","Briax made a forum post","https://github.com/Undead-Lords/udl-wbm-forum-archive/blob/main/archive/timestamps/2005/2005-02/20050212-0.png","https://web.archive.org/web/20050212085048/http://www.undeadlords.net:80/forums/","https://github.com/Undead-Lords/udl-wbm-forum-archive/blob/main/archive/backups/2005/2005-02/20050212-0.html"
"2005-02-12","2 people using the forum at the time of the snapshot","https://github.com/Undead-Lords/udl-wbm-forum-archive/blob/main/archive/timestamps/2005/2005-02/20050212-0.png","https://web.archive.org/web/20050212085048/http://www.undeadlords.net:80/forums/","https://github.com/Undead-Lords/udl-wbm-forum-archive/blob/main/archive/backups/2005/2005-02/20050212-0.html"
"2005-02-12","Knyx made a forum post","https://github.com/Undead-Lords/udl-wbm-forum-archive/blob/main/archive/timestamps/2005/2005-02/20050212-0.png","https://web.archive.org/web/20050212085048/http://www.undeadlords.net:80/forums/","https://github.com/Undead-Lords/udl-wbm-forum-archive/blob/main/archive/backups/2005/2005-02/20050212-0.html"
"2005-08-03","user made their forum account on 2005-08-03","https://github.com/Undead-Lords/udl-wbm-forum-archive/blob/main/archive/timestamps/2005/2005-12/20051224-3.png","https://web.archive.org/web/20051224114258/http://www.undeadlords.net/forums/index.php?showuser=3","https://github.com/Undead-Lords/udl-wbm-forum-archive/blob/main/archive/backups/2005/2005-12/20051224-3.html"
"2005-08-08","user made their forum account on 2005-08-08","https://github.com/Undead-Lords/udl-wbm-forum-archive/blob/main/archive/timestamps/2005/2005-12/20051224-4.png","https://web.archive.org/web/20051224101501/http://www.undeadlords.net/forums/index.php?showuser=21","https://github.com/Undead-Lords/udl-wbm-forum-archive/blob/main/archive/backups/2005/2005-12/20051224-4.html"
"2005-08-08","user made their forum account on 2005-08-08","https://github.com/Undead-Lords/udl-wbm-forum-archive/blob/main/archive/timestamps/2005/2005-12/20051224-11.png","https://web.archive.org/web/20051224094955/http://www.undeadlords.net/forums/index.php?showuser=25","https://github.com/Undead-Lords/udl-wbm-forum-archive/blob/main/archive/backups/2005/2005-12/20051224-11.html"
"2005-08-09","user made their forum account on 2005-08-09","https://github.com/Undead-Lords/udl-wbm-forum-archive/blob/main/archive/timestamps/2005/2005-12/20051224-2.png","https://web.archive.org/web/20051224093807/http://www.undeadlords.net/forums/index.php?showuser=50","https://github.com/Undead-Lords/udl-wbm-forum-archive/blob/main/archive/backups/2005/2005-12/20051224-2.html"
"2005-08-12","user made their forum account on 2005-08-12","https://github.com/Undead-Lords/udl-wbm-forum-archive/blob/main/archive/timestamps/2005/2005-12/20051224-12.png","https://web.archive.org/web/20051224092409/http://www.undeadlords.net/forums/index.php?showuser=91","https://github.com/Undead-Lords/udl-wbm-forum-archive/blob/main/archive/backups/2005/2005-12/20051224-12.html"
