"dateOfActivity","description","imageStampURL","wbmURL","backupURL"
"2006-11-7","Madman Jr made a forum post","https://github.com/Undead-Lords/udl-wbm-forum-archive/blob/main/archive/timestamps/2006/2006-11/20061108-0.png","https://web.archive.org/web/20061108163549/http://www.undeadlords.net:80/forums/","https://github.com/Undead-Lords/udl-wbm-forum-archive/blob/main/archive/backups/2006/2006-11/20061108-0.html"
"2000-07-26","Nephlite Z'Ress made a forum post","https://github.com/Undead-Lords/udl-wbm-forum-archive/blob/main/archive/timestamps/2001/2001-07/20010714-2.png","https://web.archive.org/web/20010714185357/http://www.undeadlords.net/cgi-bin/dcforum/dcboard.cgi?az=list&forum=DCForumID3&mm=90&archive=","https://github.com/Undead-Lords/udl-wbm-forum-archive/blob/main/archive/backups/2001/2001-07/20010714-2.html"
"2001-01-04","Kayle Silverwi... made a forum post","https://github.com/Undead-Lords/udl-wbm-forum-archive/blob/main/archive/timestamps/2001/2001-07/20010707-0.png","https://web.archive.org/web/20010707031526/http://www.undeadlords.net/cgi-bin/dcforum/dcboard.cgi?az=list&forum=DCForumID8&mm=60&archive=","https://github.com/Undead-Lords/udl-wbm-forum-archive/blob/main/archive/backups/2001/2001-07/20010707-0.html"
"2001-01-04","Lews Furrytoes... made a forum post","https://github.com/Undead-Lords/udl-wbm-forum-archive/blob/main/archive/timestamps/2001/2001-07/20010714-2.png","https://web.archive.org/web/20010714185357/http://www.undeadlords.net/cgi-bin/dcforum/dcboard.cgi?az=list&forum=DCForumID3&mm=90&archive=","https://github.com/Undead-Lords/udl-wbm-forum-archive/blob/main/archive/backups/2001/2001-07/20010714-2.html"
"2001-01-06","TomB_IRA made a forum post","https://github.com/Undead-Lords/udl-wbm-forum-archive/blob/main/archive/timestamps/2001/2001-07/20010707-0.png","https://web.archive.org/web/20010707031526/http://www.undeadlords.net/cgi-bin/dcforum/dcboard.cgi?az=list&forum=DCForumID8&mm=60&archive=","https://github.com/Undead-Lords/udl-wbm-forum-archive/blob/main/archive/backups/2001/2001-07/20010707-0.html"
"2001-01-09","Ebon Darkmoon made a forum post","https://github.com/Undead-Lords/udl-wbm-forum-archive/blob/main/archive/timestamps/2001/2001-07/20010707-0.png","https://web.archive.org/web/20010707031526/http://www.undeadlords.net/cgi-bin/dcforum/dcboard.cgi?az=list&forum=DCForumID8&mm=60&archive=","https://github.com/Undead-Lords/udl-wbm-forum-archive/blob/main/archive/backups/2001/2001-07/20010707-0.html"
"2001-01-10","Ebon Darkmoon made a forum post","https://github.com/Undead-Lords/udl-wbm-forum-archive/blob/main/archive/timestamps/2001/2001-07/20010707-0.png","https://web.archive.org/web/20010707031526/http://www.undeadlords.net/cgi-bin/dcforum/dcboard.cgi?az=list&forum=DCForumID8&mm=60&archive=","https://github.com/Undead-Lords/udl-wbm-forum-archive/blob/main/archive/backups/2001/2001-07/20010707-0.html"
"2001-01-11","Hunth made a forum post","https://github.com/Undead-Lords/udl-wbm-forum-archive/blob/main/archive/timestamps/2001/2001-04/20010408-1.png","https://web.archive.org/web/20010408011223/http://www.undeadlords.net/cgi-bin/dcforum/dcboard.cgi?az=list&forum=DCForumID19&conf=DCConfID1","https://github.com/Undead-Lords/udl-wbm-forum-archive/blob/main/archive/backups/2001/2001-04/20010408-1.html"
"2001-01-11","Yikes Elpresid... made a forum post","https://github.com/Undead-Lords/udl-wbm-forum-archive/blob/main/archive/timestamps/2001/2001-07/20010714-2.png","https://web.archive.org/web/20010714185357/http://www.undeadlords.net/cgi-bin/dcforum/dcboard.cgi?az=list&forum=DCForumID3&mm=90&archive=","https://github.com/Undead-Lords/udl-wbm-forum-archive/blob/main/archive/backups/2001/2001-07/20010714-2.html"
"2001-01-17","Cian [CLT] (Gu... made a forum post","https://github.com/Undead-Lords/udl-wbm-forum-archive/blob/main/archive/timestamps/2001/2001-07/20010707-0.png","https://web.archive.org/web/20010707031526/http://www.undeadlords.net/cgi-bin/dcforum/dcboard.cgi?az=list&forum=DCForumID8&mm=60&archive=","https://github.com/Undead-Lords/udl-wbm-forum-archive/blob/main/archive/backups/2001/2001-07/20010707-0.html"
"2001-01-20","UDL Hard made a forum post","https://github.com/Undead-Lords/udl-wbm-forum-archive/blob/main/archive/timestamps/2001/2001-04/20010426-0.png","https://web.archive.org/web/20010426194537/http://www.undeadlords.net/cgi-bin/dcforum/dcboard.cgi?az=list&forum=DCForumID3&mm=30&archive=","https://github.com/Undead-Lords/udl-wbm-forum-archive/blob/main/archive/backups/2001/2001-04/20010426-0.html"
"2001-01-20","UDL Hard made a forum post","https://github.com/Undead-Lords/udl-wbm-forum-archive/blob/main/archive/timestamps/2001/2001-07/20010714-2.png","https://web.archive.org/web/20010714185357/http://www.undeadlords.net/cgi-bin/dcforum/dcboard.cgi?az=list&forum=DCForumID3&mm=90&archive=","https://github.com/Undead-Lords/udl-wbm-forum-archive/blob/main/archive/backups/2001/2001-07/20010714-2.html"
"2001-01-21","TomB_IRA made a forum post","https://github.com/Undead-Lords/udl-wbm-forum-archive/blob/main/archive/timestamps/2001/2001-07/20010707-0.png","https://web.archive.org/web/20010707031526/http://www.undeadlords.net/cgi-bin/dcforum/dcboard.cgi?az=list&forum=DCForumID8&mm=60&archive=","https://github.com/Undead-Lords/udl-wbm-forum-archive/blob/main/archive/backups/2001/2001-07/20010707-0.html"
"2001-01-24","Dwelf made a forum post","https://github.com/Undead-Lords/udl-wbm-forum-archive/blob/main/archive/timestamps/2001/2001-04/20010426-0.png","https://web.archive.org/web/20010426194537/http://www.undeadlords.net/cgi-bin/dcforum/dcboard.cgi?az=list&forum=DCForumID3&mm=30&archive=","https://github.com/Undead-Lords/udl-wbm-forum-archive/blob/main/archive/backups/2001/2001-04/20010426-0.html"
"2001-01-24","Morchaint (Gue... made a forum post","https://github.com/Undead-Lords/udl-wbm-forum-archive/blob/main/archive/timestamps/2001/2001-04/20010426-0.png","https://web.archive.org/web/20010426194537/http://www.undeadlords.net/cgi-bin/dcforum/dcboard.cgi?az=list&forum=DCForumID3&mm=30&archive=","https://github.com/Undead-Lords/udl-wbm-forum-archive/blob/main/archive/backups/2001/2001-04/20010426-0.html"
"2001-01-24","Dwelf made a forum post","https://github.com/Undead-Lords/udl-wbm-forum-archive/blob/main/archive/timestamps/2001/2001-07/20010714-2.png","https://web.archive.org/web/20010714185357/http://www.undeadlords.net/cgi-bin/dcforum/dcboard.cgi?az=list&forum=DCForumID3&mm=90&archive=","https://github.com/Undead-Lords/udl-wbm-forum-archive/blob/main/archive/backups/2001/2001-07/20010714-2.html"
"2001-01-24","Morchaint (Gue... made a forum post","https://github.com/Undead-Lords/udl-wbm-forum-archive/blob/main/archive/timestamps/2001/2001-07/20010714-2.png","https://web.archive.org/web/20010714185357/http://www.undeadlords.net/cgi-bin/dcforum/dcboard.cgi?az=list&forum=DCForumID3&mm=90&archive=","https://github.com/Undead-Lords/udl-wbm-forum-archive/blob/main/archive/backups/2001/2001-07/20010714-2.html"
"2001-01-28","Tristan Caster... made a forum post","https://github.com/Undead-Lords/udl-wbm-forum-archive/blob/main/archive/timestamps/2001/2001-04/20010427-0.png","https://web.archive.org/web/20010427202744/http://www.undeadlords.net/cgi-bin/dcforum/dcboard.cgi?az=list&forum=DCForumID5&mm=60&archive=","https://github.com/Undead-Lords/udl-wbm-forum-archive/blob/main/archive/backups/2001/2001-04/20010427-0.html"
"2001-01-31","Lews Furrytoes... made a forum post","https://github.com/Undead-Lords/udl-wbm-forum-archive/blob/main/archive/timestamps/2001/2001-04/20010426-0.png","https://web.archive.org/web/20010426194537/http://www.undeadlords.net/cgi-bin/dcforum/dcboard.cgi?az=list&forum=DCForumID3&mm=30&archive=","https://github.com/Undead-Lords/udl-wbm-forum-archive/blob/main/archive/backups/2001/2001-04/20010426-0.html"
"2001-01-31","Lews Furrytoes... made a forum post","https://github.com/Undead-Lords/udl-wbm-forum-archive/blob/main/archive/timestamps/2001/2001-07/20010714-1.png","https://web.archive.org/web/20010714185140/http://www.undeadlords.net/cgi-bin/dcforum/dcboard.cgi?az=list&forum=DCForumID3&mm=60&archive=","https://github.com/Undead-Lords/udl-wbm-forum-archive/blob/main/archive/backups/2001/2001-07/20010714-1.html"
"2001-02-03","Vanish Soulles... made a forum post","https://github.com/Undead-Lords/udl-wbm-forum-archive/blob/main/archive/timestamps/2001/2001-04/20010426-0.png","https://web.archive.org/web/20010426194537/http://www.undeadlords.net/cgi-bin/dcforum/dcboard.cgi?az=list&forum=DCForumID3&mm=30&archive=","https://github.com/Undead-Lords/udl-wbm-forum-archive/blob/main/archive/backups/2001/2001-04/20010426-0.html"
"2001-02-03","The Dark Tower... made a forum post","https://github.com/Undead-Lords/udl-wbm-forum-archive/blob/main/archive/timestamps/2001/2001-04/20010427-0.png","https://web.archive.org/web/20010427202744/http://www.undeadlords.net/cgi-bin/dcforum/dcboard.cgi?az=list&forum=DCForumID5&mm=60&archive=","https://github.com/Undead-Lords/udl-wbm-forum-archive/blob/main/archive/backups/2001/2001-04/20010427-0.html"
"2001-02-03","Vanish Soulles... made a forum post","https://github.com/Undead-Lords/udl-wbm-forum-archive/blob/main/archive/timestamps/2001/2001-07/20010714-1.png","https://web.archive.org/web/20010714185140/http://www.undeadlords.net/cgi-bin/dcforum/dcboard.cgi?az=list&forum=DCForumID3&mm=60&archive=","https://github.com/Undead-Lords/udl-wbm-forum-archive/blob/main/archive/backups/2001/2001-07/20010714-1.html"
"2001-02-04","Qualan made a forum post","https://github.com/Undead-Lords/udl-wbm-forum-archive/blob/main/archive/timestamps/2001/2001-04/20010408-1.png","https://web.archive.org/web/20010408011223/http://www.undeadlords.net/cgi-bin/dcforum/dcboard.cgi?az=list&forum=DCForumID19&conf=DCConfID1","https://github.com/Undead-Lords/udl-wbm-forum-archive/blob/main/archive/backups/2001/2001-04/20010408-1.html"
